ix;id;sci;de;en;minConfidence
88;GalChl0;Gallinula chloropus;Teichhuhn;Common Moorhen;
89;SaxRub0;Saxicola rubetra;Braunkehlchen;Whinchat;
90;NumArq0;Numenius arquata;Großer Brachvogel;Eurasian Curlew;
91;CapEur0;Caprimulgus europaeus;Ziegenmelker;European Nightjar;
92;DenMed0;Dendrocopos medius;Mittelspecht;Middle Spotted Woodpecker;
93;EmbCir0;Emberiza cirlus;Zaunammer;Cirl Bunting;
94;ArdCin0;Ardea cinerea;Graureiher;Grey Heron;
95;PicCan0;Picus canus;Grauspecht;Grey-headed Woodpecker;
96;ButBut0;Buteo buteo;Mäusebussard;Common Buzzard;
97;FicPar0;Ficedula parva;Zwergschnäpper;Red-breasted Flycatcher;
98;LocFlu0;Locustella fluviatilis;Schlagschwirl;River Warbler;
99;ChrRid0;Chroicocephalus ridibundus;Lachmöwe;Black-headed Gull;
100;FriMon0;Fringilla montifringilla;Bergfink;Brambling;
101;ColMon0;Coloeus monedula;Dohle;Western Jackdaw;
102;StrDec0;Streptopelia decaocto;Türkentaube;Eurasian Collared Dove;
103;MusStr0;Muscicapa striata;Grauschnäpper;Spotted Flycatcher;
104;ColPal0;Columba palumbus;Ringeltaube;Common Wood Pigeon;
105;CorFru0;Corvus frugilegus;Saatkrähe;Rook;
106;HaeOst0;Haematopus ostralegus;Austernfischer;Eurasian Oystercatcher;
107;ApuApu0;Apus apus;Mauersegler;Common Swift;
108;GruGru0;Grus grus;Kranich;Common Crane;
109;AsiOtu0;Asio otus;Waldohreule;Long-eared Owl;
110;PhaCol0;Phasianus colchicus;Jagdfasan;Common Pheasant;
111;AegFun0;Aegolius funereus;Raufußkauz;Boreal Owl;
112;SylNis0;Sylvia nisoria;Sperbergrasmücke;Barred Warbler;
113;MerApi0;Merops apiaster;Bienenfresser;European Bee-eater;
114;PhyTro0;Phylloscopus trochiloides;Grünlaubsänger;Greenish Warbler;
115;CotCot0;Coturnix coturnix;Wachtel;Common Quail;
116;CarFla0;Carduelis flammea;Birkenzeisig;Common Redpoll;
117;DelUrb0;Delichon urbicum;Mehlschwalbe;Common House Martin;
118;GalCri0;Galerida cristata;Haubenlerche;Crested Lark;
119;LarCan0;Larus canus;Sturmmöwe;Mew Gull;
120;UpuEpo0;Upupa epops;Wiedehopf;Eurasian Hoopoe;
121;TacRuf0;Tachybaptus ruficollis;Zwergtaucher;Little Grebe;
122;JynTor0;Jynx torquilla;Wendehals;Eurasian Wryneck;
123;LocLus0;Locustella luscinioides;Rohrschwirl;Savi's Warbler;
124;NucCar0;Nucifraga caryocatactes;Tannenhäher;Spotted Nutcracker;
125;TriNeb0;Tringa nebularia;Grünschenkel;Common Greenshank;
126;CisJun0;Cisticola juncidis;Zistensänger;Zitting Cisticola;
127;ActHyp0;Actitis hypoleucos;Flussuferläufer;Common Sandpiper;
128;SaxRub1;Saxicola rubicola;Schwarzkehlchen;European Stonechat;
129;AlcAtt0;Alcedo atthis;Eisvogel;Common Kingfisher;
130;BotSte0;Botaurus stellaris;Rohrdommel;Eurasian Bittern;
131;ScoRus0;Scolopax rusticola;Waldschnepfe;Eurasian Woodcock;
132;OtuSco0;Otus scops;Zwergohreule;Eurasian Scops Owl;
133;LanCol0;Lanius collurio;Neuntöter;Red-backed Shrike;
134;AthNoc0;Athene noctua;Steinkauz;Little Owl;
135;BubBub0;Bubo bubo;Uhu;Eurasian Eagle-Owl;
136;CygCyg0;Cygnus cygnus;Singschwan;Whooper Swan;
137;PorPar0;Porzana parva;Kleines Sumpfhuhn;Little Crake;
138;CygOlo0;Cygnus olor;Höckerschwan;Mute Swan;
139;RemPen0;Remiz pendulinus;Beutelmeise;Eurasian Penduline Tit;
140;ChaDub0;Charadrius dubius;Flussregenpfeifer;Little Ringed Plover;
141;MotCin0;Motacilla cinerea;Gebirgsstelze;Grey Wagtail;
142;TriOch0;Tringa ochropus;Waldwasserläufer;Green Sandpiper;
143;LimLim0;Limosa limosa;Uferschnepfe;Black-tailed Godwit;
144;TriGla0;Tringa glareola;Bruchwasserläufer;Wood Sandpiper;
145;SteHir0;Sterna hirundo;Flussseeschwalbe;Common Tern;
146;SylCan0;Sylvia cantillans;Weißbart-Grasmücke;Subalpine Warbler;
147;LarArg0;Larus argentatus;Silbermöwe;European Herring Gull;
148;SylUnd0;Sylvia undata;Provencegrasmücke;Dartford Warbler;
149;StrTur0;Streptopelia turtur;Turteltaube;European Turtle Dove;
150;FicAlb0;Ficedula albicollis;Halsbandschnäpper;Collared Flycatcher;
151;AnsAlb0;Anser albifrons;Blässgans;Greater White-fronted Goose;
152;BraCan0;Branta canadensis;Kanadagans;Canada Goose;
